square_id,day_of_week,hour_of_day,sms_in,sms_out,call_in,call_out,internet
8212,3,23,0.551035816341,0.813227688941,,0.00363958039678,11.5229719062
8213,3,23,0.37506231345,0.603000621173,,0.0396161483301,11.365855828
8214,3,23,0.200345558907,0.349381725328,0.0020459606035,0.0679077583631,9.39273784296
8215,3,23,0.100650879085,0.31056878141,0.00871058886869,0.0118777173932,10.5319762647
8216,3,23,0.0732185274902,0.234945187898,,0.00892397370099,8.6683909732
8217,3,23,0.0707417302773,0.152173214783,,0.00328962581551,5.15712690456
8222,3,23,0.24800922389,0.171118369948,0.0566137245175,0.0566137245175,24.436236692
8234,3,23,0.815560209674,1.11219905241,,0.382905073017,10.5483301887
8235,3,23,2.15573575143,2.55231108228,0.00487951227567,0.30927069833,22.1015027304
8236,3,23,1.72513891252,1.985810317,0.0549653979802,0.147021227966,20.6588816206
8237,3,23,0.478193460931,0.761365806906,0.201662223894,0.0948366053314,12.5619521776
8238,3,23,0.508503530641,0.745415317259,0.187250756987,0.0722420283263,12.6970394624
8239,3,23,0.642133907924,0.851570914934,0.222738158877,0.136520243372,13.3733360204
8241,3,23,0.118946824797,0.109019705404,0.0168148678987,0.0148788592184,1.75439491491
8242,3,23,0.0999724702904,0.138862204543,0.0477763416553,0.0163221071524,3.14465174114
8262,3,23,0.0525250197948,0.286493295496,,0.0130194473833,10.3325231539
8263,3,23,,0.840065180394,,,30.1930315673
8264,3,23,0.00137079578349,0.597919309824,0.00137079578349,,28.6064519884
8265,3,23,0.0362565475363,0.71985984691,0.0186467232446,,28.1391338889
8266,3,23,0.246864763124,0.0355690568951,0.174929015458,0.0550140015968,32.1685301782
8267,3,23,0.866634345303,,0.32645212835,,34.2681818243
8268,3,23,0.701688377819,0.00289040062768,0.126978750959,,54.310052726
8270,3,23,1.21897231456,0.38925698763,,,15.143949165
8271,3,23,1.2826047795,0.977648459985,0.0212780323074,0.0107309249304,18.0039138948
8272,3,23,1.26537519902,1.57517737919,0.118716660959,0.0231196382634,21.8676607341
8276,3,23,0.0690551295398,0.166801440315,0.0153363189868,1.76185550357e-05,4.6289603461
8277,3,23,0.312263318612,0.139872458514,0.0780658296532,0.0780658296532,9.92461857856
1913,3,23,0.453585344708,1.35809118989,0.0828333045728,0.182395053524,14.1947350419
8328,3,23,0.13685129618,0.268357866424,,0.00646552298533,2.13604456684
